title,platform,Score,release_year
Brütal Legend,Xbox 360,9,2009
Brütal Legend,PlayStation 3,9,2009
Brutal: Above the Claw,Sega 32X,3,2008
Brute Force,Xbox,8,2003
Bubble Bash,iPhone,9,2008
Bubble Bash,iPod,7,2008
Bubble Bobble,NES,8,2008
Bubble Bobble,Wii,8,2008
Bubble Bobble,Game Boy Color,7,1999
Bubble Bobble,Wireless,2,2004
Bubble Bobble Double,iPhone,8,2010
Bubble Bobble Double Shot,Nintendo DS,6,2008
Bubble Bobble Evolution,PlayStation Portable,4,2007
Bubble Bobble Neo!,Xbox 360,8,2009
Bubble Bobble Plus,Wii,8,2009
Bubble Bobble Revolution,Nintendo DS,4,2006
Bubble Bobble: Old and New,Game Boy Advance,7,2004
Bubble Trouble,Lynx,7,1999
Bubble Trubble,PlayStation Portable,6,2009
BubbleTown,iPhone,8,2009
Buck and the Coin of Destiny,iPhone,8,2010
Buck Bumble,Nintendo 64,7,1998
Buffy the Vampire Slayer,Xbox,8,2002
Buffy the Vampire Slayer,Wireless,8,2005
Buffy the Vampire Slayer,Game Boy Color,2,2000
Buffy the Vampire Slayer: Chaos Bleeds,PlayStation 2,8,2003
Buffy the Vampire Slayer: Chaos Bleeds,Xbox,8,2003
Buffy the Vampire Slayer: Chaos Bleeds,GameCube,8,2003
Buffy the Vampire Slayer: Wrath of the Darkhul King,Game Boy Advance,4,2003
Bug Riders,PlayStation,3,1997
Bugdom,Macintosh,7,2002
Bugdom II,Macintosh,8,2002
Bugdom II,iPhone,8,2008
BugHunt,iPhone,4,2008
Bugs Bunny & Taz: Time Busters,PlayStation,8,2000
Bugs Bunny & Taz: Time Busters,PC,7,2001
Bugs Bunny Crazy Castle 3,Game Boy Color,6,1999
Bugs Bunny in Crazy Castle 4,Game Boy Color,7,2000
Bugs Bunny: Lost in Time,PlayStation,8,1999
Bugs'N'Balls,Nintendo DSi,5,2011
Build-A-Lot,Nintendo DSi,7,2011
Bujingai: The Forsaken City,PlayStation 2,7,2004
Buku Sudoku,Xbox 360,6,2008
"Bulldozer, Inc.",Wireless,8,2007
Bullet Witch,Xbox 360,4,2007
Bulletstorm,PlayStation 3,8,2011
Bulletstorm,Xbox 360,8,2011
Bulletstorm,PC,8,2011
Bully,PlayStation 2,9,2006
Bully ( (Collector's Edition)),PlayStation 2,9,2006
Bully: Scholarship Edition,Xbox 360,9,2008
Bully: Scholarship Edition,Wii,8,2008
Bully: Scholarship Edition,PC,8,2008
Bumper Car City,Wireless,5,2007
Bumpy Road,iPhone,9,2011
Bungee Desperado,Wireless,2,2007
BurgerTime,Wireless,8,2004
BurgerTime Delight,Wireless,8,2008
BurgerTime Deluxe,Nintendo 3DS,8,2011
BurgerTime Special,Wireless,8,2007
BurgerTime World Tour,Xbox 360,6,2011
Burn the City,iPhone,7,2011
Burn the Rope,iPhone,8,2011
Burn the Rope,Wii,6,2011
"Burn, Zombie, Burn!",PlayStation 3,8,2009
Burning Fight,Wii,5,2008
Burning Rangers,Saturn,8,2008
Burnout,PlayStation 2,9,2001
Burnout,Xbox,8,2002
Burnout,GameCube,8,2002
Burnout,Wireless,7,2007
Burnout 2: Point of Impact,PlayStation 2,9,2002
Burnout 2: Point of Impact,GameCube,9,2003
Burnout 2: Point of Impact -- Developer's Cut,Xbox,9,2003
Burnout 3: Takedown,Xbox,10,2004
Burnout 3: Takedown,PlayStation 2,9,2004
Burnout Crash,Xbox 360,8,2011
Burnout Crash,PlayStation 3,8,2011
Burnout Dominator,PlayStation Portable,9,2007
Burnout Dominator,PlayStation 2,8,2007
Burnout Legends,PlayStation Portable,9,2005
Burnout Legends,Nintendo DS,4,2005
Burnout Paradise,Xbox 360,9,2008
Burnout Paradise,PlayStation 3,9,2008
Burnout Paradise: The Ultimate Box,PC,8,2009
Burnout Revenge,Xbox,9,2005
Burnout Revenge,PlayStation 2,9,2005
Burnout Revenge,Xbox 360,9,2006
Bush vs. Kerry Boxing,Wireless,8,2004
Bushido Blade,PlayStation,9,1997
Bushido Blade 2,PlayStation,7,1998
Bust A Groove,PlayStation,9,1998
Bust A Groove 2,PlayStation,7,2000
Bust-A-Move,iPhone,7,2009
Bust-A-Move '99,Nintendo 64,8,1999
Bust-A-Move 2 Arcade Edition,Nintendo 64,8,1998
Bust-A-Move 2: Arcade Edition,PlayStation,8,1996
Bust-A-Move 4,Dreamcast,9,2000
Bust-A-Move 4,PlayStation,8,1998
Bust-A-Move 4,Game Boy Color,7,1999
Bust-A-Move 4,PC,6,2000
Bust-A-Move 99,PlayStation,7,1999
Bust-A-Move Bash!,Wii,5,2007
Bust-A-Move Deluxe,PlayStation Portable,8,2007
Bust-A-Move DS,Nintendo DS,8,2005
Bust-A-Move Live,Xbox 360,8,2009
Bust-A-Move Millennium Edition,Game Boy Color,8,2000
Bust-A-Move Plus,Wii,7,2009
Bust-A-Move Pocket,NeoGeo Pocket Color,8,1999
Bust-A-Move Universe,Nintendo 3DS,6,2011
Buster Bros. Collection,PlayStation,6,1997
Busy Sweets Factory,PlayStation Portable,6,2010
Butt-Ugly Martians: B.K.M. Battles,Game Boy Advance,6,2003
Butt-Ugly Martians: Zoom or Doom,GameCube,4,2003
Butt-Ugly Martians: Zoom or Doom,PlayStation 2,4,2003
ButterflyCatch,iPhone,7,2008
Buzz Lightyear of Star Command,Dreamcast,7,2000
Buzz Lightyear of Star Command,PlayStation,6,2000
Buzz Lightyear of Star Command,Game Boy Color,4,2000
Buzz! Junior: Jungle Party,PlayStation 2,7,2007
Buzz! Junior: Jungle Party,PlayStation 3,2,2009
Buzz! Junior: Robo Jam,PlayStation 3,5,2009
Buzz! Junior: Robo Jam (Game Only Edition),PlayStation 2,7,2008
Buzz! Master Quiz,PlayStation Portable,8,2008
Buzz! Quiz TV,PlayStation 3,9,2008
Buzz! Quiz World,PlayStation 3,9,2009
Buzz! Quiz World,PlayStation Portable,6,2009
Buzz! Quiz World (Game & 4-Controller Bundle),PlayStation 3,9,2009
Buzz! The Mega Quiz,PlayStation 2,8,2007
Buzz!: The Hollywood Quiz,PlayStation 2,8,2008
c-12: Final Resistance,PlayStation,7,2002
C: The Contra Adventure,PlayStation,1,1998
C.O.P.: The Recruit,Nintendo DS,5,2009
Cabela's 4x4 Off-Road Adventure,PC,6,2001
Cabela's African Safari,PC,7,2006
Cabela's African Safari,PlayStation Portable,7,2006
Cabela's African Safari,PlayStation 2,7,2006
Cabela's African Safari,Xbox 360,5,2007
Cabela's Alaskan Adventures,Xbox 360,5,2006
Cabela's Alaskan Adventures,PlayStation 2,4,2006
Cabela's Big Game Hunter,PlayStation 2,6,2007
Cabela's Big Game Hunter,Xbox 360,6,2007
Cabela's Big Game Hunter,Wii,6,2007
Cabela's Big Game Hunter [2002],PlayStation 2,6,2002
Cabela's Big Game Hunter 2010,Wii,6,2009
Cabela's Big Game Hunter 2010,Xbox 360,5,2009
Cabela's Big Game Hunter 2010,PlayStation 3,5,2009
Cabela's Big Game Hunter: 2005 Adventures,PlayStation 2,7,2004
Cabela's Big Game Hunter: 2005 Adventures,Xbox,7,2004
Cabela's Big Game Hunter: Trophy Bucks,PC,5,2007
Cabela's Dangerous Hunts,PlayStation 2,7,2003
Cabela's Dangerous Hunts 2,GameCube,6,2005
Cabela's Dangerous Hunts 2,PlayStation 2,6,2005
Cabela's Dangerous Hunts 2,Xbox,6,2005
Cabela's Dangerous Hunts 2009,PlayStation 3,5,2008
Cabela's Dangerous Hunts 2009,Xbox 360,5,2008
Cabela's Dangerous Hunts 2009,Wii,5,2008
Cabela's Dangerous Hunts: Ultimate Challenge,PlayStation Portable,6,2006
Cabela's Deer Hunt: 2004 Season,PlayStation 2,7,2003
Cabela's Deer Hunt: 2005 Season,PlayStation 2,7,2004
Cabela's Monster Bass,PlayStation 2,5,2007
Cabela's Outdoor Adventures,PlayStation 2,7,2009
Cabela's Outdoor Adventures,Xbox 360,7,2009
Cabela's Outdoor Adventures,Wii,7,2009
Cabela's Outdoor Adventures,PlayStation 3,7,2009
Cabela's Outdoor Adventures [2006],PlayStation 2,6,2005
Cabela's Trophy Bucks,Wii,6,2008
Cabela's Trophy Bucks,PlayStation 2,5,2007
Cabela's Trophy Bucks,Xbox 360,5,2007
Caesar,Wireless,8,2007
Caesar III,PC,9,1998
Caesar III,Macintosh,9,2002
Caesar IV,PC,8,2006
Caesars Palace,PlayStation,6,1997
Caesars Palace 2000,PC,7,2000
Caesars Palace 2000,Dreamcast,3,2000
Caesars Palace 2000: Millennium Gold Edition,PlayStation,5,2000
Caesars Palace II,Game Boy Color,8,1999
Cafeteria Nipponica,iPhone,6,2012
Cake Mania,Wireless,8,2007
Cake Mania,Nintendo DS,7,2007
Cake Mania 2: Jill's Next Adventure!,Nintendo DS,5,2008
Cake Mania 3,iPhone,7,2009
Cake Mania: Baker's Challenge,PlayStation Portable,7,2008
Cake Mania: Baker's Challenge,PlayStation 2,7,2008
Cake Ninja,Nintendo DSi,4,2012
Calculator,Nintendo DSi,7,2011
Cali Surf,Wireless,8,2003
California Games,Wireless,7,2005
California Games,Lynx,6,1999
California Games,Wii,5,2009
California Gold Rush,iPhone,8,2009
California Gold Rush 2,iPhone,8,2010
California Speed,Nintendo 64,4,1999
Call for Heroes: Pompolic Wars,PC,1,2007
Call of Cthulhu: Dark Corners of the Earth,Xbox,8,2005
Call of Cthulhu: Dark Corners of the Earth,PC,8,2006
Call of Duty,PC,9,2003
Call of Duty,Wireless,8,2004
Call of Duty 2,PC,9,2005
Call of Duty 2,Xbox 360,9,2005
Call of Duty 2,Wireless,8,2006
Call of Duty 2: Big Red One,Xbox,9,2005
Call of Duty 2: Big Red One,PlayStation 2,8,2005
Call of Duty 2: Big Red One,GameCube,8,2005
Call of Duty 2: Big Red One (Collector's Edition),PlayStation 2,8,2005
Call of Duty 3,Xbox,9,2006
Call of Duty 3,Xbox 360,9,2006
Call of Duty 3,PlayStation 2,8,2006
Call of Duty 3,Wii,8,2006
Call of Duty 3,PlayStation 3,8,2006
Call of Duty 3,Wireless,8,2007
Call of Duty 3 (Platinum Hits),Xbox 360,9,2008
Call of Duty 4: Modern Warfare,PC,9,2007
Call of Duty 4: Modern Warfare,Xbox 360,9,2007
Call of Duty 4: Modern Warfare,PlayStation 3,9,2007
Call of Duty 4: Modern Warfare,Nintendo DS,8,2007
Call of Duty 4: Modern Warfare (Limited Collector's Edition),Xbox 360,9,2007
Call of Duty Classic,Xbox 360,8,2009
Call of Duty Classic,PlayStation 3,8,2009
Call of Duty: Advanced Warfare,Xbox One,9,2014
Call of Duty: Advanced Warfare,Xbox 360,9,2014
Call of Duty: Advanced Warfare,PlayStation 3,9,2014
Call of Duty: Advanced Warfare,PC,9,2014
Call of Duty: Advanced Warfare,PlayStation 4,9,2014
Call of Duty: Black Ops,PC,9,2010
Call of Duty: Black Ops,Xbox 360,9,2010
Call of Duty: Black Ops,PlayStation 3,9,2010
Call of Duty: Black Ops,Wii,8,2010
Call of Duty: Black Ops Declassified,PlayStation Vita,4,2012
Call of Duty: Black Ops II,PC,9,2012
Call of Duty: Black Ops II,Xbox 360,9,2012
Call of Duty: Black Ops II,PlayStation 3,9,2012
Call of Duty: Black Ops II,Wii U,9,2012
Call of Duty: Black Ops III,Xbox One,9,2015
Call of Duty: Black Ops III,PlayStation 4,9,2015
Call of Duty: Black Ops III,PlayStation 3,7,2015
Call of Duty: Black Ops III,Xbox 360,7,2015
Call of Duty: Finest Hour,PlayStation 2,7,2004
Call of Duty: Finest Hour,Xbox,7,2004
Call of Duty: Finest Hour,GameCube,7,2004
Call of Duty: Ghosts,PlayStation 4,9,2013
Call of Duty: Ghosts,PC,9,2013
Call of Duty: Ghosts,Xbox One,9,2013
Call of Duty: Ghosts,PlayStation 3,9,2013
Call of Duty: Ghosts,Xbox 360,9,2013
Call of Duty: Ghosts,Wii U,9,2013
Call of Duty: Modern Warfare -- Reflex Edition,Wii,7,2009
Call of Duty: Modern Warfare 2,PC,10,2009
Call of Duty: Modern Warfare 2,PlayStation 3,10,2009
Call of Duty: Modern Warfare 2,Xbox 360,10,2009
Call of Duty: Modern Warfare 2 (Hardened Edition),PlayStation 3,10,2009
Call of Duty: Modern Warfare 2 (Hardened Edition),PlayStation 3,10,2009
Call of Duty: Modern Warfare 2 (Prestige Edition),Xbox 360,10,2009
Call of Duty: Modern Warfare 2 (Prestige Edition),PlayStation 3,10,2009
Call of Duty: Modern Warfare 3,PC,9,2011
Call of Duty: Modern Warfare 3,Xbox 360,9,2011
Call of Duty: Modern Warfare 3,PlayStation 3,9,2011
Call of Duty: Modern Warfare 3,Wii,5,2011
Call of Duty: Modern Warfare Mobile,Wireless,8,2007
Call of Duty: Modern Warfare: Mobilized,Nintendo DS,8,2009
Call of Duty: Roads to Victory,PlayStation Portable,7,2007
Call of Duty: Strike Team,iPhone,6,2013
Call of Duty: United Offensive,PC,8,2004
Call of Duty: World at War,PlayStation 3,9,2008
Call of Duty: World at War,PC,9,2008
Call of Duty: World at War,Xbox 360,9,2008
Call of Duty: World at War,Wii,8,2008
Call of Duty: World at War,Nintendo DS,8,2008
Call of Duty: World at War,Wireless,7,2008
Call of Duty: World at War -- Final Fronts,PlayStation 2,5,2008
Call of Duty: World at War (Collector's Edition),Xbox 360,9,2008
Call of Duty: World at War (Collector's Edition),PC,9,2008
Call of Duty: World at War: Zombies,iPhone,7,2009
Call of Juarez,Xbox 360,8,2007
Call of Juarez,PC,7,2007
Call of Juarez: Bound in Blood,PlayStation 3,8,2009
Call of Juarez: Bound in Blood,Xbox 360,8,2009
Call of Juarez: Bound in Blood,PC,8,2009
Call of Juarez: Gunslinger,Xbox 360,8,2013
Call of Juarez: Gunslinger,PlayStation 3,8,2013
Call of Juarez: Gunslinger,PC,8,2013
Call of Juarez: The Cartel,Xbox 360,5,2011
Call of Juarez: The Cartel,PlayStation 3,5,2011
Call of Juarez: The Cartel,PC,5,2011
Call to Power II,PC,6,2000
Calling,Wii,4,2010
Calling All Cars!,PlayStation 3,9,2007
Calvin Tucker's Redneck Jamboree,Wii,3,2009
Camp Lazlo: Leaky Lake Games,Game Boy Advance,4,2006
Canabalt,iPhone,8,2009
Candace Kane's Candy Factory,Nintendo DS,6,2009
Candace Kane's Candy Factory,Wii,5,2008
Cannon Fodder,Game Boy Color,9,2001
Cannon Spike,Dreamcast,9,2000
Capcom Arcade,iPhone,8,2010
Capcom Classics Collection Reloaded,PlayStation Portable,8,2006
Capcom Classics Collection Remixed,PlayStation Portable,7,2006
Capcom Classics Collection Vol. 1,PlayStation 2,8,2005
Capcom Classics Collection Vol. 1,Xbox,8,2005
Capcom Classics Collection Vol. 2,PlayStation 2,7,2006
Capcom Classics Collection Vol. 2,Xbox,7,2006
Capcom Fighting Evolution,PlayStation 2,7,2004
Capcom Fighting Evolution,Xbox,7,2005
Capcom Puzzle World,PlayStation Portable,7,2007
Capcom vs. SNK 2 EO,Xbox,9,2003
Capcom vs. SNK 2 EO,GameCube,7,2002
Capcom vs. SNK 2: Mark of the Millennium 2001,PlayStation 2,8,2001
Capcom vs. SNK: Millennium Fight 2000,Dreamcast,9,2000
Capcom vs. SNK: Millennium Fight 2000 Pro,PlayStation,8,2002
Capone Casino II,Wireless,8,2007
Capsized,PC,9,2011
Captain America: Super Soldier,Wii,6,2011
Captain America: Super Soldier,Nintendo DS,6,2011
Captain America: Super Soldier,PlayStation 3,5,2011
Captain America: Super Soldier,Xbox 360,5,2011
Captain America: Super Soldier,Nintendo 3DS,5,2011
Captain Toad: Treasure Tracker,Wii U,8,2014
Car and Driver Presents Grand Tour Racing 98,PlayStation,6,1997
Car Battler Joe,Game Boy Advance,8,2002
Car Jack Streets,Nintendo DSi,8,2010
Car Jack Streets,PlayStation Portable,6,2010
Car Tycoon,PC,4,2002
Carcassonne,Xbox 360,8,2007
Carcassonne,iPhone,8,2010
Cardboard Castle,iPhone,8,2011
Cardinal Syn,PlayStation,6,1998
Cargo! The Quest for Gravity,PC,6,2011
Carmageddon,Game Boy Color,3,2000
Carmageddon 2: Carpocalypse Now,PC,7,1999
Carmageddon 2: Carpocalypse Now,Macintosh,7,2002
Carmageddon 3: TDR 2000,PC,6,2000
Carmageddon 64,Nintendo 64,1,2000
Carmageddon: Max Damage,PlayStation 4,5,2016
Carmen Sandiego Adventures in Math: The Big Ben Burglary,Wii,7,2012
Carmen Sandiego Adventures in Math: The Lady Liberty Larceny,Wii,8,2011
Carmen Sandiego: The Secret of the Stolen Drums,GameCube,6,2004
Carmen Sandiego: The Secret of the Stolen Drums,PlayStation 2,6,2004
Carmen Sandiego: The Secret of the Stolen Drums,Xbox,6,2004
Carnage Heart,PlayStation,9,1997
CarneyVale Showtime,Windows Phone,9,2010
Carnival Games,Wii,7,2007
Carnival Games,Nintendo DS,7,2008
Carnival Games [Digital Chocolate],Wireless,4,2007
Carnival Games MiniGolf,Wii,4,2008
"Carnival Games: Monkey See, Monkey Do",Xbox 360,6,2011
Carnival King,Wii,7,2009
Carnivores,PC,7,1998
Carnivores II,PC,7,2000
Carnivores: Cityscape,PC,7,2002
Carnivores: Dinosaur Hunter HD,PlayStation 3,4,2013
Carnivores: Ice Age,PC,5,2001
Carol Vorderman's Sudoku,PlayStation 2,8,2007
Carol Vorderman's Sudoku,PlayStation Portable,8,2007
Carol Vorderman's Sudoku,PC,8,2008
Carrier,Dreamcast,8,2000
Cars,PlayStation Portable,8,2006
Cars,GameCube,7,2006
Cars,Xbox,7,2006
Cars,PlayStation 2,7,2006
Cars,Wireless,7,2006
Cars,PC,7,2006
Cars,Xbox 360,7,2006
Cars,Wii,7,2006
Cars,Nintendo DS,6,2006
Cars,Game Boy Advance,3,2006
Cars 2,Xbox 360,8,2011
Cars 2,Wii,8,2011
Cars 2,PlayStation 3,8,2011
Cars 2,Nintendo DS,7,2011
Cars Mater-National Championship,Nintendo DS,7,2007
Cars Race-O-Rama,Xbox 360,5,2009
Cars Race-O-Rama,PlayStation 3,5,2009
Cars Race-O-Rama,Wii,5,2009
Cars Race-O-Rama,PlayStation 2,5,2009
Cars Race-O-Rama,PlayStation Portable,5,2009
CART Fury,PlayStation 2,6,2001
CART World Series,PlayStation,7,1997
Cartel Wars,Wireless,8,2003
Cartoon Network Racing,Nintendo DS,6,2007
Cartoon Network Racing,PlayStation 2,3,2006
Cartoon Network Speedway,Game Boy Advance,3,2003
Cartoon Network Universe: FusionFall,PC,7,2009
Cartoon Network: Punch Time Explosion,Nintendo 3DS,5,2011
Cartoon Network: Punch Time Explosion XL,PlayStation 3,5,2011
Cartoon Network: Punch Time Explosion XL,Xbox 360,5,2011
Carve,Xbox,6,2004
Casey's Contraptions,iPad,8,2011
Cash Guns Chaos DLX,PlayStation 3,4,2006
Casino Empire,PC,6,2002
Casino Inc.,PC,8,2003
Casino Royale,Wireless,6,2006
Casino Tycoon,PC,6,2001
Casper,Game Boy Color,5,2000
Casper -- A Haunting 3D Challenge,PlayStation,4,1996
Casper: Spirit Dimensions,PlayStation 2,6,2001
Casper: Spirit Dimensions,GameCube,6,2002
Castle Conqueror -- Against,Nintendo DSi,7,2011
Castle Conqueror -- Heroes,Nintendo DSi,8,2011
Castle Conqueror -- Revolution,Nintendo DSi,8,2011
Castle Crashers,Xbox 360,9,2008
Castle Crashers,PlayStation 3,9,2010
Castle of Illusion Starring Mickey Mouse,PC,7,2013
Castle of Illusion Starring Mickey Mouse,Xbox 360,7,2013
Castle of Magic,Wireless,9,2008
Castle of Magic,Nintendo DSi,8,2009
Castle of Magic,iPhone,7,2009
Castle of Shikigami III,Wii,8,2008
Castles & Catapults,PC,2,2003
CastleStorm,Xbox 360,8,2013
CastleStorm,PlayStation 3,8,2013
Castlevania,Wireless,9,2004
Castlevania,Wii,8,2007
Castlevania,NES,8,2007
Castlevania (Classic NES Series),Game Boy Advance,8,2004
Castlevania [1999],Nintendo 64,8,1999
Castlevania Chronicles,PlayStation,8,2001
Castlevania II: Simon's Quest,Wii,7,2007
Castlevania II: Simon's Quest,NES,7,2007
Castlevania III: Dracula's Curse,Wii,9,2009
Castlevania III: Dracula's Curse,NES,9,2009
Castlevania Judgment,Wii,8,2008
Castlevania Puzzle: Encore of the Night,iPhone,7,2010
Castlevania X: Rondo of Blood,Wii,9,2010
Castlevania: Aria of Sorrow,Game Boy Advance,9,2003
Castlevania: Circle of the Moon,Game Boy Advance,9,2001
Castlevania: Curse of Darkness,PlayStation 2,8,2005
Castlevania: Curse of Darkness,Xbox,8,2005
Castlevania: Dawn of Sorrow,Nintendo DS,9,2005
Castlevania: Harmony of Despair,Xbox 360,8,2010
Castlevania: Harmony of Despair,PlayStation 3,8,2011
Castlevania: Harmony of Dissonance,Game Boy Advance,9,2002
Castlevania: Lament of Innocence,PlayStation 2,9,2003
Castlevania: Legacy of Darkness,Nintendo 64,7,1999
Castlevania: Lords of Shadow,PlayStation 3,8,2010
Castlevania: Lords of Shadow,Xbox 360,8,2010
Castlevania: Lords of Shadow -- Mirror of Fate,Nintendo 3DS,5,2013
Castlevania: Lords of Shadow 2,Xbox 360,7,2014
Castlevania: Lords of Shadow 2,PC,7,2014
Castlevania: Lords of Shadow 2,PlayStation 3,7,2014
Castlevania: Order of Ecclesia,Nintendo DS,9,2008
Castlevania: Order of Shadows,Wireless,7,2007
Castlevania: Portrait of Ruin,Nintendo DS,9,2006
Castlevania: Symphony of the Night,PlayStation 3,10,2007
Castlevania: Symphony of the Night,PlayStation Portable,10,2007
Castlevania: Symphony of the Night,PlayStation,9,1997
Castlevania: Symphony of the Night,Xbox 360,9,2007
Castlevania: The Adventure ReBirth,Wii,8,2010
Castlevania: The Dracula X Chronicles,PlayStation Portable,8,2007
Castrol Honda Superbike Racing,PlayStation,4,1999
Castrol Honda Superbike World Champions,PC,8,1998
Catan,Xbox 360,8,2007
Catan,iPhone,8,2009
Caterpillar (Starwave Version),Wireless,5,2007
Catherine,Xbox 360,9,2011
Catherine,PlayStation 3,9,2011
Catrap,Nintendo 3DS,9,2011
Catwoman,Game Boy Advance,7,2004
Catwoman,PC,4,2004
Catwoman,Xbox,4,2004
Catwoman,GameCube,4,2004
Catwoman,PlayStation 2,4,2004
Catwoman,Game Boy Color,3,2000
Catz,Wireless,8,2007
Catz,Game Boy Color,5,2000
Catz,Nintendo DS,5,2007
Cave Story,Wii,9,2010
Cave Story 3D,Nintendo 3DS,9,2011
CBS Sportsline Baseball,Wireless,8,2004
CBS Sportsline Track & Field,Wireless,8,2004
CBS Sportsline.com Baseball 2005,Wireless,8,2005
Ce-Lo,Wireless,7,2005
Cel Damage,Xbox,7,2001
Cel Damage,GameCube,6,2002
Celebrity Sports Showdown,Wii,4,2008
CellFactor: Psychokinetic Wars,PlayStation 3,8,2009
CellFactor: Psychokinetic Wars,Xbox 360,8,2009
CellFactor: Revolution,PC,5,2007
CellZenith,PC,6,2008
Celtic Kings: Rage of War,PC,8,2002
Centipede,iPhone,8,2008
Centipede,Game Boy Color,4,1999
Centipede,Wireless,2,2003
Centipede (Glu Mobile Version),Wireless,7,2007
Centipede [1999],PC,8,1998
Centipede [1999],PlayStation,6,1999
Centipede [1999],Dreamcast,3,1999
Centipede & Millipede,Xbox 360,6,2007
Cesar Millan's The Dog Whisperer,Nintendo DS,4,2008
Cesar Millan's The Dog Whisperer,PC,3,2009
Ceville,PC,9,2009
Chameleon,Nintendo DS,6,2007
Chameleon,PlayStation Portable,3,2008
Chameleon Twist,Nintendo 64,7,1997
Chameleon Twist 2,Nintendo 64,6,1999
Chameleon: Mysterious Journey II,PC,7,2003
Champions of Norrath: Realms of EverQuest,PlayStation 2,9,2004
Champions Online,PC,8,2009
Champions: Return to Arms,PlayStation 2,8,2005
Championship Bass,PC,9,2000
Championship Bass,PlayStation,8,2000
Championship Foosball,Wii,4,2009
Championship Motocross 2001 Featuring Ricky Carmichael,PlayStation,6,2001
Championship Motocross 2001 Featuring Ricky Carmichael,Game Boy Color,5,2000
Championship Motocross Featuring Ricky Carmichael,PlayStation,9,1999
Championship Pony,Nintendo DS,5,2008
Championship Pool,Game Boy,4,1999
Championship Rally,Lynx,6,2001
Championship Sprint,PlayStation 3,3,2007
Championship Surfer,PC,7,2000
Championship Surfer,PlayStation,7,2000
Championship Surfer,Dreamcast,3,2000
Chantelise: A Tale of Two Sisters,PC,5,2011
Chaos Field,GameCube,6,2006
Chaos Heroes Online,PC,6,2015
Chaos Legion,PlayStation 2,7,2003
Chaos Rings,iPhone,9,2010
Chaos Rings,iPad,9,2010
Chaos Rings II,iPhone,9,2012
Chaos Theory,PC,7,2008
Chaos Wars,PlayStation 2,8,2008
Chaotic: Shadow Warriors,Nintendo DS,7,2009
Chaotic: Shadow Warriors,Xbox 360,6,2009
Chaotic: Shadow Warriors,PlayStation 3,6,2009
Charge! Tank Squad!,PlayStation Portable,7,2010
Charge'n Blast,Dreamcast,8,2001
Chariots of War,PC,5,2003
Charisma Lee,Wireless,6,2003
Charlie and the Chocolate Factory,Xbox,5,2005
Charlie and the Chocolate Factory,PlayStation 2,5,2005
Charlie and the Chocolate Factory,GameCube,5,2005
Charlie Blast's Territory,Nintendo 64,7,1999
Charlie Murder,Xbox 360,7,2013
Charlie's Angels,GameCube,4,2003
Charlotte's Web,Nintendo DS,7,2006
Charlotte's Web,Game Boy Advance,6,2006
ChartFight,iPhone,6,2008
Chase Ace 2,PC,8,2000
Chase H.Q.,Wii,5,2008
Chase H.Q. Secret Police,Game Boy Color,5,1999
Chase: Hollywood Stunt Driver,Xbox,5,2002
Chaser,PC,8,2003
Chasing Aurora,Wii U,6,2012
Checkered Flag,Lynx,10,1999
Chess Challenge!,Wii,8,2010
Chess Challenge!,Nintendo DSi,7,2010
Chess Everywhere,Wireless,9,2004
Chessmaster,PlayStation 2,9,2003
Chessmaster,Wireless,9,2004
Chessmaster,Xbox,9,2004
Chessmaster,Game Boy Color,8,2000
Chessmaster,Game Boy Advance,8,2002
Chessmaster 10th Edition,PC,8,2004
Chessmaster II,PlayStation,8,1999
Chessmaster Live,Xbox 360,6,2008
Chessmaster: The Art of Learning,Nintendo DS,8,2007
Chessmaster: The Art of Learning,PlayStation Portable,7,2008
Chew-Man-Fu,TurboGrafx-16,7,2007
Chew-Man-Fu,Wii,7,2007
Chibi-Robo,GameCube,8,2006
Chibi-Robo: Park Patrol,Nintendo DS,8,2007
Chibi-Robo!: Zip Lash,Nintendo 3DS,5,2015
Chicago 1930,PC,5,2004
Chicago Enforcer,Xbox,4,2005
Chicken Balls,iPhone,8,2011
Chicken Hunter,Nintendo DS,4,2008
Chicken Little,Game Boy Advance,8,2006
Chicken Little,Xbox,7,2005
Chicken Little,GameCube,7,2005
Chicken Little,PlayStation 2,7,2005
Chicken Little: Ace in Action,PlayStation 2,8,2006
Chicken Little: Ace in Action,Wii,8,2006
Chicken Little: Ace in Action,Nintendo DS,7,2006
Chicken Run,Dreamcast,7,2000
Chicken Run,PlayStation,7,2000
Chicken Run,PC,7,2001
Chicken Run,Game Boy Color,6,2000
Chicken Shoot,Wii,2,2007
Chicken Shoot (Game & Blaster),Wii,2,2007
Child of Eden,Xbox 360,9,2011
Child of Eden,PlayStation 3,7,2011
Child of Light,PlayStation 3,9,2014
Child of Light,Wii U,9,2014
Child of Light,PlayStation 4,9,2014
Child of Light,Xbox One,9,2014
Child of Light,PC,9,2014
Child of Light,Xbox 360,9,2014
Child of Light,PlayStation Vita,9,2014
Children of Mana,Nintendo DS,8,2006
Chili Con Carnage,PlayStation Portable,8,2007
Chime,Xbox 360,8,2010
Chime Super Deluxe,PlayStation 3,9,2011
Chimps Ahoy!,iPhone,8,2008
China Warrior,Wii,2,2007
China Warrior,TurboGrafx-16,2,2007
Chip's Challenge,Lynx,8,1999
Chivalry: Deadliest Warrior,PC,8,2013
